f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,ClassId,Path
123752.0,127464.0,131368.0,134652.0,140396.0,135816.0,118036.0,97592.0,102232.0,109936.0,109800.0,101544.0,97312.0,104508.0,114028.0,119580.0,116632.0,115032.0,116864.0,121952.0,127752.0,127768.0,124652.0,120564.0,119380.0,122064.0,127036.0,130292.0,125100.0,109424.0,99344.0,98944.0,100200.0,100592.0,101596.0,102924.0,102668.0,99672.0,96696.0,95320.0,0,Train/0/00000_00000_00000.png
129212.0,132100.0,135232.0,137028.0,137960.0,120740.0,104928.0,99596.0,104332.0,112020.0,110600.0,102116.0,103732.0,113740.0,120032.0,118720.0,113720.0,116868.0,120896.0,123444.0,126848.0,128424.0,125548.0,119628.0,116476.0,124156.0,131520.0,132360.0,125396.0,108936.0,99632.0,100208.0,99936.0,99048.0,100468.0,103036.0,103192.0,98816.0,95492.0,94772.0,0,Train/0/00000_00000_00001.png
130912.0,135956.0,139692.0,136040.0,119316.0,103788.0,97448.0,99832.0,100876.0,101548.0,101036.0,101668.0,109064.0,118436.0,120260.0,114652.0,110784.0,115412.0,121848.0,126496.0,128196.0,124944.0,120572.0,116532.0,112924.0,122504.0,131060.0,131496.0,123204.0,109148.0,98808.0,95672.0,97404.0,96632.0,98180.0,102048.0,103348.0,99940.0,95172.0,91992.0,0,Train/0/00000_00000_00002.png
133700.0,138864.0,139096.0,126176.0,98800.0,94284.0,95320.0,98544.0,101056.0,96376.0,97196.0,105676.0,117364.0,123164.0,118088.0,111192.0,109700.0,116776.0,123684.0,126424.0,126164.0,123740.0,118724.0,109912.0,113296.0,123868.0,130652.0,126744.0,115912.0,103200.0,95256.0,99588.0,98560.0,98016.0,100172.0,104924.0,101752.0,95724.0,90904.0,89296.0,0,Train/0/00000_00000_00003.png
126916.0,131024.0,135548.0,141012.0,146004.0,137740.0,108980.0,98992.0,100044.0,95912.0,98420.0,95580.0,93168.0,98724.0,114104.0,125076.0,129336.0,118280.0,108116.0,113768.0,121880.0,122800.0,123520.0,123892.0,121616.0,115668.0,109368.0,116388.0,127648.0,129720.0,120672.0,110004.0,99672.0,97204.0,103368.0,99312.0,99692.0,103888.0,106628.0,104952.0,0,Train/0/00000_00000_00004.png
138520.0,143340.0,140460.0,125556.0,102688.0,102232.0,98672.0,94608.0,93152.0,88076.0,87572.0,94416.0,107220.0,122032.0,130796.0,127076.0,116848.0,108948.0,110444.0,117272.0,120104.0,119064.0,122056.0,116220.0,111004.0,109868.0,113956.0,125388.0,128356.0,124532.0,116916.0,108428.0,100912.0,99180.0,99236.0,95808.0,99052.0,104368.0,105584.0,102128.0,0,Train/0/00000_00000_00005.png
125556.0,129760.0,135512.0,142356.0,137788.0,115116.0,95260.0,100264.0,94484.0,91856.0,86896.0,80400.0,83712.0,98752.0,113040.0,124172.0,122536.0,116300.0,114488.0,114124.0,117912.0,120436.0,121368.0,122752.0,120836.0,113072.0,107272.0,115292.0,121012.0,123980.0,120172.0,112032.0,106196.0,99840.0,96240.0,94588.0,96432.0,101048.0,104820.0,105100.0,0,Train/0/00000_00000_00006.png
133156.0,138484.0,138912.0,125364.0,108036.0,100144.0,100064.0,91616.0,96776.0,81268.0,75032.0,82764.0,100320.0,116804.0,122372.0,118404.0,115144.0,118872.0,115776.0,116804.0,119416.0,120728.0,121900.0,117152.0,111928.0,109828.0,116344.0,120136.0,121076.0,118356.0,110948.0,109596.0,104892.0,93484.0,94600.0,97020.0,99352.0,103448.0,105796.0,100896.0,0,Train/0/00000_00000_00007.png
148340.0,138860.0,117712.0,102892.0,96984.0,93476.0,94472.0,86644.0,78032.0,74260.0,81092.0,96492.0,112152.0,123712.0,117468.0,113792.0,116084.0,121656.0,124652.0,121704.0,125984.0,122092.0,121360.0,120604.0,117252.0,115680.0,124184.0,120760.0,120056.0,117060.0,112968.0,110784.0,110916.0,107620.0,93356.0,96004.0,100156.0,101984.0,105136.0,108848.0,0,Train/0/00000_00000_00008.png
141028.0,145856.0,134960.0,110292.0,98604.0,100816.0,98732.0,92720.0,96116.0,77928.0,73780.0,79512.0,93352.0,105544.0,115216.0,115896.0,112100.0,114408.0,118216.0,126324.0,121440.0,120504.0,122480.0,121640.0,116256.0,110276.0,113496.0,124552.0,124288.0,115616.0,111124.0,108548.0,108472.0,111780.0,110088.0,98884.0,91080.0,96116.0,99784.0,103092.0,0,Train/0/00000_00000_00009.png
151808.0,144660.0,118584.0,94152.0,97584.0,101292.0,95416.0,95480.0,84352.0,76264.0,76636.0,90200.0,102080.0,111252.0,115552.0,112912.0,111536.0,118500.0,123784.0,125908.0,123408.0,122828.0,125256.0,123820.0,116984.0,110808.0,114808.0,127004.0,129596.0,118008.0,111188.0,106796.0,107012.0,109892.0,110984.0,103164.0,92736.0,91772.0,96636.0,100512.0,0,Train/0/00000_00000_00010.png
145372.0,153024.0,156900.0,145100.0,115040.0,92448.0,103476.0,106076.0,101260.0,95356.0,84968.0,77776.0,81644.0,94936.0,108352.0,114164.0,112852.0,106000.0,110348.0,119944.0,128864.0,130120.0,130212.0,123392.0,123740.0,123900.0,118116.0,113600.0,122796.0,128996.0,127104.0,119776.0,107636.0,103944.0,108496.0,112332.0,111228.0,106268.0,97400.0,93120.0,0,Train/0/00000_00000_00011.png
