f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,ClassId,Path
126722048.0,130523136.0,134520832.0,137883648.0,143765504.0,139075584.0,120868864.0,99934208.0,104685568.0,112574464.0,112435200.0,103981056.0,99647488.0,107016192.0,116764672.0,122449920.0,119431168.0,117792768.0,119668736.0,124878848.0,130818048.0,130834432.0,127643648.0,123457536.0,122245120.0,124993536.0,130084864.0,133419008.0,128102400.0,112050176.0,101728256.0,101318656.0,102604800.0,103006208.0,104034304.0,105394176.0,105132032.0,102064128.0,99016704.0,97607680.0,0,Train/0/00000_00000_00000.png
132313088.0,135270400.0,138477568.0,140316672.0,141271040.0,123637760.0,107446272.0,101986304.0,106835968.0,114708480.0,113254400.0,104566784.0,106221568.0,116469760.0,122912768.0,121569280.0,116449280.0,119672832.0,123797504.0,126406656.0,129892352.0,131506176.0,128561152.0,122499072.0,119271424.0,127135744.0,134676480.0,135536640.0,128405504.0,111550464.0,102023168.0,102612992.0,102334464.0,101425152.0,102879232.0,105508864.0,105668608.0,101187584.0,97783808.0,97046528.0,0,Train/0/00000_00000_00001.png
134053888.0,139218944.0,143044608.0,139304960.0,122179584.0,106278912.0,99786752.0,102227968.0,103297024.0,103985152.0,103460864.0,104108032.0,111681536.0,121278464.0,123146240.0,117403648.0,113442816.0,118181888.0,124772352.0,129531904.0,131272704.0,127942656.0,123465728.0,119328768.0,115634176.0,125444096.0,134205440.0,134651904.0,126160896.0,111767552.0,101179392.0,97968128.0,99741696.0,98951168.0,100536320.0,104497152.0,105828352.0,102338560.0,97456128.0,94199808.0,0,Train/0/00000_00000_00002.png
136908800.0,142196736.0,142434304.0,129204224.0,101171200.0,96546816.0,97607680.0,100909056.0,103481344.0,98689024.0,99528704.0,108212224.0,120180736.0,126119936.0,120922112.0,113860608.0,112332800.0,119578624.0,126652416.0,129458176.0,129191936.0,126709760.0,121573376.0,112549888.0,116015104.0,126840832.0,133787648.0,129785856.0,118693888.0,105676800.0,97542144.0,101978112.0,100925440.0,100368384.0,102576128.0,107442176.0,104194048.0,98021376.0,93085696.0,91439104.0,0,Train/0/00000_00000_00003.png
129961984.0,134168576.0,138801152.0,144396288.0,149508096.0,141045760.0,111595520.0,101367808.0,102445056.0,98213888.0,100782080.0,97873920.0,95404032.0,101093376.0,116842496.0,128077824.0,132440064.0,121118720.0,110710784.0,116498432.0,124805120.0,125747200.0,126484480.0,126865408.0,124534784.0,118444032.0,111992832.0,119181312.0,130711552.0,132833280.0,123568128.0,112644096.0,102064128.0,99536896.0,105848832.0,101695488.0,102084608.0,106381312.0,109187072.0,107470848.0,0,Train/0/00000_00000_00004.png
141844480.0,146780160.0,143831040.0,128569344.0,105152512.0,104685568.0,101040128.0,96878592.0,95387648.0,90189824.0,89673728.0,96681984.0,109793280.0,124960768.0,133935104.0,130125824.0,119652352.0,111562752.0,113094656.0,120086528.0,122986496.0,121921536.0,124985344.0,119009280.0,113668096.0,112504832.0,116690944.0,128397312.0,131436544.0,127520768.0,119721984.0,111030272.0,103333888.0,101560320.0,101617664.0,98107392.0,101429248.0,106872832.0,108118016.0,104579072.0,0,Train/0/00000_00000_00005.png
128569344.0,132874240.0,138764288.0,145772544.0,141094912.0,117878784.0,97546240.0,102670336.0,96751616.0,94060544.0,88981504.0,82329600.0,85721088.0,101122048.0,115752960.0,127152128.0,125476864.0,119091200.0,117235712.0,116862976.0,120741888.0,123326464.0,124280832.0,125698048.0,123736064.0,115785728.0,109846528.0,118059008.0,123916288.0,126955520.0,123056128.0,114720768.0,108744704.0,102236160.0,98549760.0,96858112.0,98746368.0,103473152.0,107335680.0,107622400.0,0,Train/0/00000_00000_00006.png
136351744.0,141807616.0,142245888.0,128372736.0,110628864.0,102547456.0,102465536.0,93814784.0,99098624.0,83218432.0,76832768.0,84750336.0,102727680.0,119607296.0,125308928.0,121245696.0,117907456.0,121724928.0,118554624.0,119607296.0,122281984.0,123625472.0,124825600.0,119963648.0,114614272.0,112463872.0,119136256.0,123019264.0,123981824.0,121196544.0,113610752.0,112226304.0,107409408.0,95727616.0,96870400.0,99348480.0,101736448.0,105930752.0,108335104.0,103317504.0,0,Train/0/00000_00000_00007.png
151900160.0,142192640.0,120537088.0,105361408.0,99311616.0,95719424.0,96739328.0,88723456.0,79904768.0,76042240.0,83038208.0,98807808.0,114843648.0,126681088.0,120287232.0,116523008.0,118870016.0,124575744.0,127643648.0,124624896.0,129007616.0,125022208.0,124272640.0,123498496.0,120066048.0,118456320.0,127164416.0,123658240.0,122937344.0,119869440.0,115679232.0,113442816.0,113577984.0,110202880.0,95596544.0,98308096.0,102559744.0,104431616.0,107659264.0,111460352.0,0,Train/0/00000_00000_00008.png
144412672.0,149356544.0,138199040.0,112939008.0,100970496.0,103235584.0,101101568.0,94945280.0,98422784.0,79798272.0,75550720.0,81420288.0,95592448.0,108077056.0,117981184.0,118677504.0,114790400.0,117153792.0,121053184.0,129355776.0,124354560.0,123396096.0,125419520.0,124559360.0,119046144.0,112922624.0,116219904.0,127541248.0,127270912.0,118390784.0,113790976.0,111153152.0,111075328.0,114462720.0,112730112.0,101257216.0,93265920.0,98422784.0,102178816.0,105566208.0,0,Train/0/00000_00000_00009.png
